Old Name,New Name
cytochrome c oxidase polypeptide I,cox1
cytochrome c oxidase polypeptide II,cox2
cytochrome c oxidase polypeptide III,cox3
cytochrome c oxidases 1,cox1
cytochrome c oxidases subunit 1,cox1
cytochrome c oxidase subnit I,cox1
cytochrome c oxidase subnunit III,cox3
cytochrome c oxidase subumit I,cox1
cytochrome c oxidase subunit 1,cox1
cytochrome c-oxidase subunit 1,cox1
cytochrome coxidase subunit 1,cox1
cytochrome C oxidase subunit 1,cox1
Cytochrome c oxidase subunit1,cox1
cytochrome c oxidase subunit 1 (cox1),cox1
Cytochrome C oxidase subunit 1 (COXI),cox1
Cytochrome c oxidase subunit 1 protein,cox1
cytochrome c oxidase subunit 1 type A,cox1
cytochrome c oxidase subunit 2,cox2
cytochrome c oxidase subunit2,cox2
cytochrome c-oxidase subunit 2,cox2
cytochrome coxidase subunit 2,cox2
Cytochrome C oxidase subunit 2 (COXII),cox2
Cytochrome c oxidase subunit 2 protein,cox2
cytochrome c oxidase subunit 3,cox3
cytochrome c-oxidase subunit 3,cox3
cytochrome coxidase subunit 3,cox3
Cytochrome c oxidase subunit3,cox3
Cytochrome c oxidase subunit 3 protein,cox3
cytochrome c oxidase subunit,cox1
cytochrome c oxidase subunite 1,cox1
cytochrome c oxidase subunit Ia,cox1
cytochrome c oxidase subunit Ib,cox1
"cytochrome c oxidase subunit I, COI",cox1
cytochrome c oxidase subunit I,cox1
cytochrome coxidase subunit I,cox1
cytochrome-c oxidase subunit I,cox1
cytochrome C oxidase subunit I,cox1
cytochrome c oxidase subunit ii,cox2
cytochrome c oxidase subunit II,cox2
"cytochrome c oxidase, subunit II",cox2
cytochrome coxidase subunit II,cox2
cytochrome-c oxidase subunit II,cox2
"cytochrome c oxidase subunit III, CoIII",cox3
cytochrome c oxidase subunit III,cox3
cytochrome coxidase subunit III,cox3
cytochrome-c oxidase subunit III,cox3
cytochrome c oxidase subunits 1,cox1
cytochrome c oxidase subunits I,cox1
cytochrome c oxidase subunits II,cox2
cytochrome c oxidase subunits III,cox3
cytochrome c-oxidase subunit three,cox3
cytochrome c oxidase subunt 2,cox2
cytochrome c oxidase subunti I,cox1
cytochrome c oxidase sununit III,cox3
